epoch,pages,accesses,mean_unique_words,p_le_4,p_le_8,p_le_16,p_le_32,p_le_48
203,258918,10000000,15.012873,0.625878,0.736673,0.779050,0.799786,0.809669
204,253640,10000001,15.043286,0.629317,0.737782,0.779802,0.800363,0.810420
205,279411,10000000,14.363604,0.613594,0.740103,0.792127,0.814438,0.824896
206,230297,10000000,16.458821,0.627268,0.714134,0.747144,0.764847,0.782546
207,265528,10000001,14.577205,0.626439,0.741620,0.787220,0.808442,0.818008
208,243790,10000000,15.604225,0.632967,0.732118,0.770360,0.789167,0.797789
209,270656,10000000,14.668151,0.619133,0.739060,0.786400,0.808096,0.817965
210,271149,10000000,14.630852,0.620224,0.738369,0.784897,0.806416,0.819063
211,268982,10000001,14.901718,0.619752,0.737826,0.783491,0.804820,0.813448
212,250673,10000000,15.367738,0.629737,0.733310,0.773306,0.793101,0.803633
213,232866,10000000,15.797785,0.636168,0.726014,0.760966,0.778933,0.792825
214,248253,10000000,15.688298,0.630091,0.729772,0.768607,0.788204,0.797159
215,278630,10000000,14.483078,0.612145,0.737882,0.789395,0.812350,0.823468
216,232511,10000001,15.964350,0.636886,0.727888,0.762691,0.780853,0.790965
217,276933,10000001,14.785259,0.614387,0.736359,0.785454,0.807629,0.816382
218,268487,10000000,15.035581,0.616756,0.732903,0.779274,0.800657,0.811633
219,273304,10000001,14.210085,0.617045,0.740531,0.789579,0.811847,0.828111
220,276998,10000000,14.452314,0.614481,0.739691,0.790053,0.812988,0.823298
221,246252,10000000,16.347538,0.623179,0.719202,0.756205,0.774520,0.783458
222,281170,10000000,14.677647,0.606139,0.735423,0.787452,0.810154,0.820191
223,267231,10000000,14.960476,0.617657,0.735240,0.781489,0.802953,0.812960
224,270487,10000000,14.908491,0.612854,0.731935,0.779409,0.800730,0.813825
225,260596,10000000,15.232072,0.621683,0.733127,0.776574,0.797622,0.807315
226,268794,10000000,15.041448,0.615110,0.731981,0.778447,0.800315,0.812607
227,270269,10000000,14.976231,0.613925,0.733591,0.782198,0.803895,0.813275
228,274171,10000000,14.490482,0.613993,0.736497,0.785882,0.808831,0.823665
229,265730,10000001,15.294739,0.616201,0.732078,0.778185,0.799868,0.809201
230,279494,10000000,15.085902,0.605916,0.730670,0.782192,0.804908,0.813674
231,260343,10000000,15.065425,0.620428,0.734397,0.779268,0.800283,0.811061
232,243446,10000000,16.543772,0.618774,0.714573,0.751814,0.770606,0.783743
233,269317,10000000,14.549197,0.614287,0.736738,0.785903,0.808556,0.819796
234,230900,10000000,16.060589,0.632447,0.724045,0.759411,0.777648,0.787570
235,270005,10000001,14.482213,0.619111,0.740712,0.789311,0.811618,0.822692
236,246355,10000000,16.415993,0.618047,0.717586,0.757257,0.776497,0.785338
237,254735,10000001,15.195866,0.624975,0.733806,0.778067,0.798716,0.807624
238,258874,10000001,15.326796,0.622581,0.733075,0.777683,0.797581,0.805867
239,238486,10000000,15.889209,0.624703,0.720508,0.758095,0.777153,0.796017
240,189949,10000000,48.444546,0.146792,0.169725,0.197100,0.260965,0.304508
241,108081,10000001,63.987611,0.000120,0.000148,0.000167,0.000194,0.000241
242,112936,10000001,54.125779,0.155956,0.156673,0.156956,0.157133,0.157213
243,529096,10000000,12.618154,0.354902,0.494568,0.764168,0.908990,0.952678
244,525540,10000000,12.643761,0.358403,0.497494,0.756169,0.912825,0.953549
245,528665,10000000,12.638088,0.353458,0.496307,0.736743,0.917504,0.960883
246,527425,10000000,12.710292,0.357814,0.499064,0.742242,0.917406,0.949695
247,529115,10000000,12.617013,0.358304,0.498941,0.739983,0.918874,0.957387
248,529286,10000001,12.633472,0.357357,0.498252,0.730815,0.920321,0.960736
249,525516,10000001,12.617601,0.364115,0.503355,0.751713,0.921473,0.942415
250,529029,10000000,12.617855,0.360321,0.499736,0.734117,0.923019,0.953804
251,534523,10000000,12.641763,0.351283,0.497361,0.703369,0.924892,0.972011
252,533392,10000000,12.568985,0.353867,0.498455,0.710365,0.926791,0.969328
253,535030,10000000,12.631862,0.354689,0.498675,0.704002,0.925503,0.969863
254,536439,10000000,12.695468,0.351630,0.497207,0.694830,0.924925,0.972040
255,532205,10000000,12.661946,0.362368,0.500728,0.722827,0.923903,0.954052
256,537856,10000000,12.632615,0.352931,0.497696,0.693608,0.926839,0.975192
257,535814,10000000,12.655365,0.359459,0.499255,0.707977,0.925549,0.963088
258,534168,10000001,12.685936,0.363900,0.500751,0.721174,0.924943,0.952219
259,536145,10000000,12.723955,0.363629,0.501086,0.713287,0.924332,0.954275
260,539426,10000000,12.608347,0.359178,0.500226,0.694868,0.928656,0.970571
261,542252,10000000,12.557045,0.358368,0.500743,0.683548,0.929466,0.979404
262,539272,10000000,12.624043,0.366948,0.503306,0.707100,0.928650,0.957309
263,538978,10000000,12.720443,0.371292,0.502972,0.719347,0.922565,0.951907
264,543610,10000000,12.522698,0.364178,0.503999,0.682877,0.930480,0.976921
265,545444,10000000,12.528089,0.364573,0.505256,0.672496,0.929644,0.980500
266,541158,10000001,12.392364,0.378623,0.507632,0.706749,0.929150,0.964855
267,472139,10000000,12.210175,0.387346,0.662693,0.866821,0.887904,0.892097
268,287414,10000000,15.793347,0.594199,0.719436,0.769837,0.791861,0.803131
269,282494,10000000,15.982414,0.598901,0.719760,0.768689,0.789780,0.799015
270,303420,10000000,15.654344,0.584002,0.718529,0.776188,0.800231,0.809218
271,303583,10000000,15.183426,0.585431,0.724243,0.783753,0.808412,0.817589
272,292603,10000000,15.516133,0.593695,0.723366,0.777832,0.801079,0.809923
273,296364,10000000,15.799486,0.588837,0.719143,0.773552,0.797067,0.805945
274,317287,10000000,14.865538,0.573197,0.721035,0.788176,0.814884,0.825577
275,287621,10000000,15.574593,0.597216,0.722962,0.774693,0.796861,0.806433
276,288118,10000000,15.642032,0.596978,0.722534,0.773412,0.795952,0.805500
277,305653,10000000,14.981279,0.585900,0.727043,0.787504,0.812752,0.822442
278,289104,10000000,15.759097,0.594118,0.720671,0.773251,0.795987,0.804814
279,312783,10000000,15.197172,0.578813,0.720669,0.782191,0.807809,0.818123
280,295140,10000000,15.828298,0.590726,0.718754,0.772156,0.794931,0.803883
281,313866,10000000,15.153540,0.575860,0.720814,0.784309,0.810202,0.820315
282,309351,10000000,15.319491,0.581042,0.721928,0.782483,0.807061,0.816787
283,302466,10000000,15.345645,0.587597,0.723698,0.782091,0.806276,0.815477
284,305775,10000000,15.246220,0.585110,0.723244,0.782638,0.807571,0.816813
285,295218,10000000,15.518407,0.589598,0.722033,0.776599,0.799948,0.809476
286,290919,10000000,15.945713,0.594478,0.719568,0.770486,0.793334,0.802203
287,323113,10000000,14.564180,0.569668,0.722611,0.793722,0.821474,0.832031
288,303586,10000000,15.197727,0.585514,0.723268,0.782576,0.807122,0.816299
289,293704,10000000,15.782111,0.593543,0.720453,0.773234,0.795689,0.804974
290,311320,10000000,15.190791,0.578302,0.721390,0.783300,0.808705,0.817978
291,304801,10000000,15.401062,0.582075,0.719922,0.779194,0.803895,0.813629
292,299371,10000000,15.263529,0.588497,0.721523,0.777914,0.801581,0.813876
293,319071,10000000,14.737391,0.569989,0.720664,0.788370,0.815543,0.826954
294,321823,10000000,14.688857,0.568990,0.722804,0.792532,0.819733,0.830279
295,301443,10000000,15.927811,0.583570,0.715210,0.770583,0.793928,0.803173
296,318673,10000000,15.196007,0.569505,0.718125,0.783741,0.809937,0.819781
297,244276,10000001,18.548056,0.587512,0.662857,0.696745,0.725294,0.771938
298,205585,10000000,18.376234,0.586755,0.673536,0.717188,0.743474,0.756052
299,196680,10000001,19.265396,0.582022,0.660820,0.701037,0.726169,0.742750
300,209806,10000000,18.253949,0.586008,0.672850,0.716738,0.743029,0.757104
301,185055,10000000,20.602551,0.571344,0.641625,0.677463,0.700197,0.716576
302,211050,10000000,17.900782,0.588590,0.680090,0.725529,0.752059,0.763738
303,193828,10000001,19.626638,0.580019,0.655767,0.693625,0.717301,0.731943
304,207180,10000001,17.887368,0.586186,0.673617,0.716951,0.743648,0.767748
